borrow_amount,bor_income,free_cash_flow,fico,coverage,leverage,age,is_undergrad,decline_reasons,status,booked
93557.44946,74699.05668,1598.301127,745.4855204,1.647803904,1.821285728,35.20596987,FALSE,['MIN_FCF'],DECLINED,0
58876.97709,39537.6205,884.6037911,671.7761508,1.235250776,2.368029248,26.15621671,FALSE,"['CHARGEOFFS_EXCEED_MAX', 'MIN_FCF']",DECLINED,0
34675.52523,53059.24073,1495.509572,734.8408807,1.674279092,2.98524835,27.78438188,TRUE,[''],APPROVED,0
9298.987299,51530.86689,1631.329003,779.2356925,1.52808454,1.223344541,25.08070177,FALSE,['MIN_FCF'],DECLINED,0
36715.19798,91245.13938,-836.7050596,0.92370832,0.670982444,0.002413208,,TRUE,['FROZEN_BUREAU'],DECLINED,0
18064.31494,36461.88947,-116.5851902,504.2861044,0.738121189,2.558351657,26.60877893,TRUE,"['CHARGEOFFS_EXCEED_MAX', 'DELINQUENCIES_EXCEED_MAX', 'MIN_FICO', 'MIN_FCF', 'MIN_CB_RATIO', 'MIN_COVERAGE']",DECLINED,0
106922.4429,54597.4936,1342.636455,538.1363804,1.094013265,3.166375678,32.90945092,TRUE,"['CHARGEOFFS_EXCEED_MAX', 'DELINQUENCIES_EXCEED_MAX', 'MIN_FICO', 'MIN_FCF', 'MIN_CB_RATIO']",DECLINED,0
14932.7544,44790.16831,1337.532487,720.4194307,2.01961856,2.453470023,32.99205954,TRUE,['MIN_FCF'],DECLINED,0
36651.04741,43604.77329,-53.85652024,729.0422378,0.547067595,1.312250137,25.44234557,FALSE,['MIN_FCF'],DECLINED,0
135131.6514,155051.5823,6923.312027,754.052554,3.733046835,0.801784881,28.84733294,FALSE,[''],APPROVED,0
119873.1383,120335.4086,-266.6972896,-2.461294547,0.486728259,-0.031929786,,FALSE,['FROZEN_BUREAU'],DECLINED,0
77930.25543,248069.0466,10953.3809,789.100428,3.586664341,2.386229127,33.52711677,FALSE,[''],APPROVED,0
118472.3487,131351.7481,5023.970045,806.6068948,2.15106752,3.858519321,29.71618651,FALSE,[''],APPROVED,0
30439.58256,90600.39374,3458.550356,721.1742871,1.069378862,4.036805963,43.82403875,TRUE,[''],APPROVED,0
68830.66461,93991.14548,3214.805523,763.9483061,1.805173004,1.539971548,27.43094183,TRUE,[''],APPROVED,0
59444.84994,63944.39034,-280.036943,-2.596944359,0.645102664,0.084396059,22.39352188,TRUE,['CREDIT_REPORT_ERROR'],DECLINED,0
62784.6363,120209.9822,4712.669744,761.1057016,3.961045162,0.482352661,29.00250955,FALSE,[''],APPROVED,0
100651.5827,106030.9561,4298.485558,748.8207711,2.855757399,0.592477924,27.04727819,TRUE,[''],APPROVED,0
69957.54894,69682.94946,1236.729533,803.7698572,1.572521065,1.363530031,24.94910543,FALSE,[''],APPROVED,0
77550.4429,139484.4881,5589.409206,757.5714111,2.081369174,0.756170165,34.36711486,FALSE,[''],APPROVED,0
168926.6805,99431.56998,3694.502285,736.2717987,1.850029219,1.572862305,25.59429892,FALSE,[''],APPROVED,0
83008.65342,48005.57514,1172.09856,665.4656815,1.133394644,2.299102551,24.12746818,TRUE,"['MIN_FCF', 'MIN_CB_RATIO']",DECLINED,0
35616.15532,30504.9986,1438.000294,770.2651879,2.129755938,2.192994874,35.62553873,TRUE,['MIN_FCF'],DECLINED,0
31472.64231,45419.9084,2579.232384,749.5480835,1.398042017,1.469078879,37.26566177,FALSE,[''],APPROVED,0
37537.79997,119044.4439,4940.127182,667.1303593,2.434300238,2.400582249,54.86625551,FALSE,[''],APPROVED,0
4546.677748,64406.7444,2622.110981,784.3079422,2.244683805,2.271543607,37.16098723,TRUE,[''],APPROVED,0
20538.16539,96784.81899,121.7575309,1.717806645,0.249087765,-0.15765665,,TRUE,['FROZEN_BUREAU'],DECLINED,0
21802.13137,18476.94156,16.68886785,5.562356111,0.061026405,0.133087903,25.01790285,FALSE,['FROZEN_BUREAU'],DECLINED,0
